Event name,Start time,End time,Duration,Event template,Primary element,Primary element path,Running status reset post event start?,,Difference,Comments,Failure
HVAC Fan S311HHU205B Bearing Failure 2020-01-16 14:11:33.00,16/01/2020 14:11,16/01/2020 14:20,0:08:54,HVAC Fan Failed Event Frame,S311HHU205B,\\ICHTHYS_PIAF\Predictive Analytics\HVAC Fan\FPSO\S311HHU205B,9/02/2020 15:41,0,577.3433419,False Alarm (speed drop for few mins),FALSE
HVAC Fan S311HHU209B Bearing Failure 2020-03-08 20:11:08.00,8/03/2020 20:11,8/03/2020 20:51,0:40:10,HVAC Fan Failed Event Frame,S311HHU209B,\\ICHTHYS_PIAF\Predictive Analytics\HVAC Fan\FPSO\S311HHU209B,26/03/2020 22:39,0,433.8001192,False Alarm (speed drop for few mins),FALSE
HVAC Fan S311HHU209B Bearing Failure 2020-04-24 10:02:27.00,24/04/2020 10:02,24/04/2020 10:22,0:19:45,HVAC Fan Failed Event Frame,S311HHU209B,\\ICHTHYS_PIAF\Predictive Analytics\HVAC Fan\FPSO\S311HHU209B,11/05/2020 9:17,0,406.9254994,False Alarm (speed drop for few mins),FALSE
HVAC Fan S311HHU209B Bearing Failure 2020-11-05 06:35:55.00,5/11/2020 6:35,5/11/2020 6:47,0:11:53,HVAC Fan Failed Event Frame,S311HHU209B,\\ICHTHYS_PIAF\Predictive Analytics\HVAC Fan\FPSO\S311HHU209B,31/01/2021 7:18,0,2088.51602,False Alarm (speed drop for few mins),FALSE
HVAC Fan S311HK017A Bearing Failure 2021-02-06 20:31:41.00,6/02/2021 20:31,7/02/2021 7:23,10:52:13,HVAC Fan Failed Event Frame,S311HK017A,\\ICHTHYS_PIAF\Predictive Analytics\HVAC Fan\FPSO\S311HK017A,7/02/2021 7:23,0,0,TRUE Failure,TRUE
HVAC Fan S311HK020A Bearing Failure 2020-01-16 14:20:10.00,16/01/2020 14:20,16/01/2020 14:27,0:07:16,HVAC Fan Failed Event Frame,S311HK020A,\\ICHTHYS_PIAF\Predictive Analytics\HVAC Fan\FPSO\S311HK020A,16/01/2020 14:41,0,0.240321667,False Alarm (speed drop for few mins),FALSE
HVAC Fan S311HK049B Bearing Failure 2021-02-11 17:08:31.00,11/02/2021 17:08,11/02/2021 17:14,0:06:00,HVAC Fan Failed Event Frame,S311HK049B,\\ICHTHYS_PIAF\Predictive Analytics\HVAC Fan\FPSO\S311HK049B,11/02/2021 17:14,0,0,Possible. Refer Trend,TRUE
HVAC Fan S311HK049B Bearing Failure 2021-02-11 18:04:31.00,11/02/2021 18:04,11/02/2021 18:10,0:06:00,HVAC Fan Failed Event Frame,S311HK049B,\\ICHTHYS_PIAF\Predictive Analytics\HVAC Fan\FPSO\S311HK049B,11/02/2021 18:10,0,0,Possible. Refer Trend,TRUE
HVAC Fan S311HK049B Bearing Failure 2021-02-11 21:01:31.00,11/02/2021 21:01,11/02/2021 21:07,0:06:00,HVAC Fan Failed Event Frame,S311HK049B,\\ICHTHYS_PIAF\Predictive Analytics\HVAC Fan\FPSO\S311HK049B,11/02/2021 21:07,0,0,Possible. Refer Trend,TRUE
HVAC Fan S311HK049B Bearing Failure 2021-02-12 02:46:31.00,12/02/2021 2:46,12/02/2021 2:52,0:06:00,HVAC Fan Failed Event Frame,S311HK049B,\\ICHTHYS_PIAF\Predictive Analytics\HVAC Fan\FPSO\S311HK049B,12/02/2021 2:52,0,0,Possible. Refer Trend,TRUE
